Model,Training time (s),Training loss,Training accuracy (%),Testing accuracy (%),Number of parameters
VGG 1 Block,49.766226053237915,3.0702945110760993e-06,100.0,96.66666666666667,205523458
VGG 3 Blocks,29.01558494567871,0.014030968653969467,99.581589958159,96.66666666666667,12921474
VGG 3 Blocks Augmented,508.22152400016785,8.141073135448096e-05,100.0,90.0,12921474
VGG 16 FT All,796.595803976059,0.39678548090159893,89.5397489539749,78.33333333333333,134268738
VGG 16 FT Last,282.5003309249878,0.0,100.0,98.33333333333333,119554050
